country,code,Bahrain,BHR
Bangladesh,BGD,2017,122734
Barbados,BRB,2017,172
Belarus,BLR,2017,8265
Belgium,BEL,2017,4980
Belize,BLZ,2017,109
Benin,BEN,2017,6182
Bermuda,BMU,2017,23
Bhutan,BTN,2017,397
Bolivia,BOL,2017,4263
Bosnia and Herzegovina,BIH,2017,3372
Botswana,BWA,2017,822
Brazil,BRA,2017,66245
Brunei,BRN,2017,52
Bulgaria,BGR,2017,7684
Burkina Faso,BFA,2017,15212
Burundi,BDI,2017,6520
Cambodia,KHM,2017,10744
Cameroon,CMR,2017,13301
Canada,CAN,2017,7835
Cape Verde,CPV,2017,230
Caribbean,,2017,23095
Central African Republic,CAF,2017,4711
Central Asia,,2017,53236
Central Europe,,2017,85867
"Central Europe, Eastern Europe, and Central Asia",,2017,303643
Central Latin America,,2017,85395
Central Sub-Saharan Africa,,2017,72405
Chad,TCD,2017,14329
Chile,CHL,2017,5666
China,CHN,2017,1242987
Colombia,COL,2017,11963
Comoros,COM,2017,392
Congo,COG,2017,2440
Costa Rica,CRI,2017,1042
Cote d'Ivoire,CIV,2017,13404
Croatia,HRV,2017,3089
Cuba,CUB,2017,6236
Cyprus,CYP,2017,499
Czech Republic,CZE,2017,6461
Democratic Republic of Congo,COD,2017,53515
Denmark,DNK,2017,2366
Djibouti,DJI,2017,404
Dominica,DMA,2017,36
Dominican Republic,DOM,2017,3364
East Asia,,2017,1315671
Eastern Europe,,2017,164539
Eastern Sub-Saharan Africa,,2017,186765
Ecuador,ECU,2017,3851
Egypt,EGY,2017,60543
El Salvador,SLV,2017,2654
England,,2017,20929
Equatorial Guinea,GNQ,2017,335
Eritrea,ERI,2017,3144
Estonia,EST,2017,452
Ethiopia,ETH,2017,40614
Fiji,FJI,2017,669
Finland,FIN,2017,1127
France,FRA,2017,18992
Gabon,GAB,2017,674
Gambia,GMB,2017,1281
Georgia,GEO,2017,4208
Germany,DEU,2017,41839
Ghana,GHA,2017,15080
Greece,GRC,2017,6944
Greenland,GRL,2017,20
Grenada,GRD,2017,81
Guam,GUM,2017,76
Guatemala,GTM,2017,7185
Guinea,GIN,2017,10514
Guinea-Bissau,GNB,2017,1181
Guyana,GUY,2017,361
Haiti,HTI,2017,7854
High SDI,,2017,440567
High-income,,2017,385735
High-income Asia Pacific,,2017,68268
High-middle SDI,,2017,910181
Honduras,HND,2017,2921
Hungary,HUN,2017,7771
Iceland,ISL,2017,59
India,IND,2017,1240529
Indonesia,IDN,2017,123753
Iran,IRN,2017,29098
Iraq,IRQ,2017,9427
Ireland,IRL,2017,1111
Israel,ISR,2017,2597
Italy,ITA,2017,29368
Jamaica,JAM,2017,1232
Japan,JPN,2017,49554
Jordan,JOR,2017,1949
Kazakhstan,KAZ,2017,7996
Kenya,KEN,2017,18891
Kiribati,KIR,2017,102
Kuwait,KWT,2017,832
Kyrgyzstan,KGZ,2017,2813
Laos,LAO,2017,5010
Latin America and Caribbean,,2017,194534
Latvia,LVA,2017,1458
Lebanon,LBN,2017,2762
Lesotho,LSO,2017,1722
Liberia,LBR,2017,2329
Libya,LBY,2017,3061
Lithuania,LTU,2017,2054
Low SDI,,2017,1004890
Low-middle SDI,,2017,1175166
Luxembourg,LUX,2017,168
Macedonia,MKD,2017,1663
Madagascar,MDG,2017,18722
Malawi,MWI,2017,8772
Malaysia,MYS,2017,11352
Maldives,MDV,2017,56
Mali,MLI,2017,11522
Malta,MLT,2017,217
Marshall Islands,MHL,2017,28
Mauritania,MRT,2017,1658
Mauritius,MUS,2017,755
Mexico,MEX,2017,48071
Micronesia (country),FSM,2017,57
Middle SDI,,2017,1340932
